first_name,last_name,email,gender,party,registered
Boot,Hamprecht,bhamprecht0@51.la,Prefer to self-describe,Democrat,true
Court,Marriage,cmarriage1@illinois.edu,Non-binary,Independent,false
Wolfie,Lancley,wlancley2@shop-pro.jp,Female,Democrat,false
Annmarie,Neale,aneale3@creativecommons.org,Male,Democrat,false
Charissa,Cunniam,ccunniam4@sitemeter.com,Prefer to self-describe,Republican,false
Efrem,Saylor,esaylor5@comcast.net,Prefer not to say,Independent,false
Willie,Dinan,wdinan6@trellian.com,Prefer not to say,Republican,true
Jaquelyn,Amoore,jamoore7@intel.com,Prefer to self-describe,Independent,false
Bentlee,Kovalski,bkovalski8@hostgator.com,Female,Democrat,false
Page,Densham,pdensham9@tmall.com,Prefer not to say,Democrat,false
Amata,Djurevic,adjurevica@symantec.com,Male,Independent,true
Alasteir,Kalinke,akalinkeb@loc.gov,Non-binary,Independent,true
Marchelle,Ambrosoni,mambrosonic@unicef.org,Prefer to self-describe,Democrat,false
Brandy,Eddisforth,beddisforthd@yahoo.co.jp,Male,Independent,true
Javier,Tosspell,jtosspelle@google.com.hk,Prefer not to say,Democrat,false
Lotti,Lesslie,llesslief@statcounter.com,Male,Independent,false
Zenia,Orteau,zorteaug@army.mil,Prefer not to say,Independent,true
Maurine,Fellon,mfellonh@rambler.ru,Non-binary,Democrat,true
Alfonso,Grimston,agrimstoni@liveinternet.ru,Prefer to self-describe,Independent,true
Madella,Tyrwhitt,mtyrwhittj@unblog.fr,Female,Independent,true
Karalee,Scyner,kscynerk@mit.edu,Prefer not to say,Democrat,false
Kristo,Ginnell,kginnelll@paypal.com,Non-binary,Independent,true
Bale,Jopp,bjoppm@mysql.com,Prefer not to say,Republican,true
Kelley,Klossmann,kklossmannn@fastcompany.com,Female,Independent,true
Ebenezer,Hyman,ehymano@uiuc.edu,Female,Democrat,false
Rob,Hanes,rhanesp@cloudflare.com,Male,Republican,true
Misha,Newnham,mnewnhamq@state.gov,Prefer to self-describe,Republican,false
Loni,Munson,lmunsonr@alexa.com,Prefer not to say,Republican,false
Nanine,Kemer,nkemers@aboutads.info,Non-binary,Democrat,false
Rosemaria,Brunicke,rbrunicket@netlog.com,Female,Independent,false
Marcile,Tommei,mtommeiu@bluehost.com,Prefer not to say,Democrat,false
Marjorie,Stiggers,mstiggersv@earthlink.net,Prefer not to say,Republican,false
Jaime,Fley,jfleyw@opensource.org,Prefer not to say,Republican,true
Juline,Seavers,jseaversx@disqus.com,Male,Democrat,false
Evvie,Raubenheimer,eraubenheimery@time.com,Female,Independent,false
Miguela,Ciccottini,mciccottiniz@themeforest.net,Prefer to self-describe,Democrat,true
Rickey,Dorian,rdorian10@ibm.com,Non-binary,Independent,true
